movie_title,actor_name
avatar,CCH Pounder
pirates of the caribbean: at world's end,Johnny Depp
spectre,Christoph Waltz
the dark knight rises,Tom Hardy
star wars: the force awakens,Doug Walker
john carter,Daryl Sabara
tangled,Brad Garrett
avengers: age of ultron,Chris Hemsworth
harry potter and the half-blood prince,Alan Rickman
batman v superman: dawn of justice,Henry Cavill
superman returns,Kevin Spacey
quantum of solace,Giancarlo Giannini
pirates of the caribbean: dead man's chest,Johnny Depp
the lone ranger,Johnny Depp
man of steel,Henry Cavill
the chronicles of narnia: prince caspian,Peter Dinklage
pirates of the caribbean: on stranger tides,Johnny Depp
men in black 3,Will Smith
the hobbit: the battle of the five armies,Aidan Turner
the amazing spider-man,Emma Stone
robin hood,Mark Addy
the hobbit: the desolation of smaug,Aidan Turner
the golden compass,Christopher Lee
titanic,Leonardo DiCaprio
captain america: civil war,Robert Downey Jr.
battleship,Liam Neeson
jurassic world,Bryce Dallas Howard
spider-man 2,J.K. Simmons
iron man 3,Robert Downey Jr.
x-men: the last stand,Hugh Jackman
monsters university,Steve Buscemi
transformers: revenge of the fallen,Glenn Morshower
transformers: age of extinction,Bingbing Li
the amazing spider-man 2,Emma Stone
cars 2,Joe Mantegna
green lantern,Ryan Reynolds
toy story 3,Tom Hanks
terminator salvation,Christian Bale
furious 7,Jason Statham
world war z,Peter Capaldi
x-men: days of future past,Jennifer Lawrence
star trek into darkness,Benedict Cumberbatch
jack the giant slayer,Eddie Marsan
prince of persia: the sands of time,Jake Gyllenhaal
pacific rim,Charlie Hunnam
transformers: dark of the moon,Glenn Morshower
indiana jones and the kingdom of the crystal skull,Harrison Ford
the good dinosaur,A.J. Buckley
brave,Kelly Macdonald
star trek beyond,Sofia Boutella
wallÂ·e,John Ratzenberger
rush hour 3,Tzi Ma
2012,Oliver Platt
a christmas carol,Robin Wright
jupiter ascending,Channing Tatum
"the chronicles of narnia: the lion, the witch and the wardrobe",Jim Broadbent
x-men: apocalypse,Jennifer Lawrence
the dark knight,Christian Bale
up,John Ratzenberger
monsters vs. aliens,Amy Poehler
iron man,Robert Downey Jr.
hugo,ChloÃ« Grace Moretz
wild wild west,Will Smith
the mummy: tomb of the dragon emperor,Jet Li
suicide squad,Will Smith
evan almighty,Jimmy Bennett
edge of tomorrow,Tom Cruise
waterworld,Jeanne Tripplehorn
g.i. joe: the rise of cobra,Joseph Gordon-Levitt
inside out,Amy Poehler
iron man 2,Robert Downey Jr.
snow white and the huntsman,Chris Hemsworth
maleficent,Angelina Jolie Pitt
dawn of the planet of the apes,Gary Oldman
47 ronin,Keanu Reeves
captain america: the winter soldier,Scarlett Johansson
shrek forever after,Jon Hamm
tomorrowland,Judy Greer
big hero 6,Damon Wayans Jr.
wreck-it ralph,Jack McBrayer
the polar express,Tom Hanks
independence day: resurgence,Vivica A. Fox
how to train your dragon,Gerard Butler
terminator 3: rise of the machines,Nick Stahl
guardians of the galaxy,Bradley Cooper
interstellar,Matthew McConaughey
inception,Leonardo DiCaprio
the hobbit: an unexpected journey,Aidan Turner
the curious case of benjamin button,Brad Pitt
x-men: first class,Jennifer Lawrence
the hunger games: mockingjay - part 2,Jennifer Lawrence
the sorcerer's apprentice,Nicolas Cage
poseidon,Jimmy Bennett
alice through the looking glass,Johnny Depp
shrek the third,Justin Timberlake
warcraft,Dominic Cooper
terminator genisys,J.K. Simmons
the chronicles of narnia: the voyage of the dawn treader,Bruce Spence
pearl harbor,Jennifer Garner
transformers,Zack Ward
alexander,Anthony Hopkins
harry potter and the order of the phoenix,Robert Pattinson
harry potter and the goblet of fire,Robert Pattinson
hancock,Will Smith
i am legend,Will Smith
charlie and the chocolate factory,Johnny Depp
ratatouille,Janeane Garofalo
batman begins,Christian Bale
madagascar: escape 2 africa,Bernie Mac
night at the museum: battle of the smithsonian,Robin Williams
x-men origins: wolverine,Hugh Jackman
the matrix revolutions,Essie Davis
frozen,Josh Gad
the matrix reloaded,Steve Bastoni
thor: the dark world,Chris Hemsworth
mad max: fury road,Tom Hardy
angels & demons,Tom Hanks
thor,Chris Hemsworth
bolt,ChloÃ« Grace Moretz
g-force,Kelli Garner
wrath of the titans,Liam Neeson
dark shadows,Johnny Depp
mission: impossible - rogue nation,Tom Cruise
the wolfman,Anthony Hopkins
the legend of tarzan,Christoph Waltz
bee movie,Matthew Broderick
kung fu panda 2,Angelina Jolie Pitt
the last airbender,Seychelle Gabriel
mission: impossible iii,Philip Seymour Hoffman
white house down,Channing Tatum
mars needs moms,Elisabeth Harnois
flushed away,Hugh Jackman
mr. peabody & sherman,Ty Burrell
troy,Brad Pitt
madagascar 3: europe's most wanted,Jada Pinkett Smith
die another day,Toby Stephens
armageddon,Bruce Willis
men in black ii,Will Smith
beowulf,Robin Wright
kung fu panda 3,J.K. Simmons
mission: impossible - ghost protocol,Tom Cruise
rise of the guardians,Hugh Jackman
fun with dick and jane,John Michael Higgins
the last samurai,Tom Cruise
star trek,Chris Hemsworth
spider-man,J.K. Simmons
how to train your dragon 2,Gerard Butler
gods of egypt,Gerard Butler
stealth,Sam Shepard
watchmen,Matt Frewer
lethal weapon 4,Jet Li
hulk,Kevin Rankin
g.i. joe: retaliation,Channing Tatum
final fantasy: the spirits within,Steve Buscemi
captain america: the first avenger,Chris Evans
the world is not enough,Colin Salmon
master and commander: the far side of the world,James D'Arcy
happy feet 2,Robin Williams
the incredible hulk,Ty Burrell
miami viceÂ            ,Don Johnson
the bfg,Mark Rylance
the revenant,Leonardo DiCaprio
turbo,Ryan Reynolds
rango,Johnny Depp
penguins of madagascar,Benedict Cumberbatch
the bourne ultimatum,Matt Damon
kung fu panda,Angelina Jolie Pitt
ant-man,Judy Greer
the hunger games: catching fire,Jennifer Lawrence
the twilight saga: breaking dawn - part 2,Robert Pattinson
war of the worlds,Tom Cruise
bad boys ii,Will Smith
puss in boots,Salma Hayek
salt,Angelina Jolie Pitt
noah,Anthony Hopkins
the adventures of tintin,Toby Jones
harry potter and the prisoner of azkaban,Daniel Radcliffe
australia,Essie Davis
after earth,Will Smith
dinosaur,Alfre Woodard
harry potter and the deathly hallows: part ii,Rupert Grint
night at the museum: secret of the tomb,Robin Williams
megamind,J.K. Simmons
harry potter and the sorcerer's stone,Daniel Radcliffe
r.i.p.d.,Ryan Reynolds
godzilla resurgence,Mark Chinnery
pirates of the caribbean: the curse of the black pearl,Johnny Depp
harry potter and the deathly hallows: part i,Rupert Grint
the hunger games: mockingjay - part 1,Jennifer Lawrence
the da vinci code,Tom Hanks
rio 2,Miguel Ferrer
x-men 2,Hugh Jackman
fast five,Paul Walker
sherlock holmes: a game of shadows,Robert Downey Jr.
the 13th warrior,Tony Curran
the bourne legacy,Jeremy Renner
batman & robin,Michael Gough
how the grinch stole christmas,Clint Howard
the day after tomorrow,Jake Gyllenhaal
mission: impossible ii,Tom Cruise
the perfect storm,Karen Allen
fantastic 4: rise of the silver surfer,Chris Evans
life of pi,Suraj Sharma
ghost rider,Nicolas Cage
jason bourne,Matt Damon
charlie's angels: full throttle,Demi Moore
prometheus,Michael Fassbender
stuart little 2,Nathan Lane
elysium,Matt Damon
the chronicles of riddick,Vin Diesel
speed racer,Scott Porter
how do you know,Shelley Conn
knight and day,Tom Cruise
oblivion,Morgan Freeman
star wars: episode iii - revenge of the sith,Natalie Portman
star wars: episode ii - attack of the clones,Natalie Portman
"monsters, inc.",Steve Buscemi
the wolverine,Hugh Jackman
star wars: episode i - the phantom menace,Natalie Portman
the croods,Ryan Reynolds
asterix at the olympic games,Alain Delon
windtalkers,Nicolas Cage
the huntsman: winter's war,Chris Hemsworth
gravity,Phaldut Sharma
dante's peak,Jamie RenÃ©e Smith
teenage mutant ninja turtles: out of the shadows,Stephen Amell
night at the museum,Robin Williams
san andreas,Dwayne Johnson
tomorrow never dies,Vincent Schiavelli
the patriot,Heath Ledger
ocean's twelve,Brad Pitt
mr. & mrs. smith,Brad Pitt
insurgent,Kate Winslet
the aviator,Leonardo DiCaprio
gulliver's travels,James Corden
the green hornet,Christoph Waltz
the a-teamÂ            ,George Peppard
300: rise of an empire,Eva Green
the smurfs,Mahadeo Shivraj
home on the range,Steve Buscemi
allegiant,Naomi Watts
real steel,Hugh Jackman
the smurfs 2,Jacob Tremblay
speed 2: cruise control,Jason Patric
ender's game,Harrison Ford
live free or die hard,Bruce Willis
the lord of the rings: the fellowship of the ring,Christopher Lee
ali,Will Smith
the cat in the hat,Sean Hayes
"i, robot",Will Smith
kingdom of heaven,Liam Neeson
stuart little,Chazz Palminteri
the princess and the frog,Oprah Winfrey
the martian,Matt Damon
"10,000 b.c.Â            ",Mathew Buck
town & country,Del Zamora
gone in sixty seconds,Nicolas Cage
gladiator,Djimon Hounsou
minority report,Tom Cruise
harry potter and the chamber of secrets,Daniel Radcliffe
terminator 2: judgment day,Joe Morton
public enemies,Johnny Depp
american gangster,Denzel Washington
true lies,Jamie Lee Curtis
the taking of pelham 1 2 3,Denzel Washington
little fockers,Robert De Niro
the other guys,Dwayne Johnson
eraser,Vanessa Williams
django unchained,Leonardo DiCaprio
the hunchback of notre dame,Demi Moore
the emperor's new groove,Eartha Kitt
the expendables 2,Jason Statham
national treasure,Nicolas Cage
eragon,Djimon Hounsou
where the wild things are,Catherine O'Hara
epic,Josh Hutcherson
end of days,CCH Pounder
blood diamond,Leonardo DiCaprio
the wolf of wall street,Leonardo DiCaprio
batman forever,Michael Gough
starship troopers,Jake Busey
cloud atlas,Tom Hanks
legend of the guardians: the owls of ga'hoole,Abbie Cornish
catwoman,Frances Conroy
treasure planet,Joseph Gordon-Levitt
land of the lost,Will Ferrell
the expendables 3,Jason Statham
son of the mask,Jamie Kennedy
in the heart of the sea,Chris Hemsworth
the adventures of pluto nash,Rosario Dawson
green zone,Matt Damon
the peanuts movie,Francesca Capaldi
the spanish prisoner,Ben Gazzara
the mummy returns,Dwayne Johnson
gangs of new york,Leonardo DiCaprio
the flowers of war,Christian Bale
surf's up,Jeff Bridges
the stepford wives,Jon Lovitz
black hawk down,Ioan Gruffudd
the campaign,Will Ferrell
the fifth element,Milla Jovovich
sex and the city 2,Chris Noth
the road to el dorado,Frank Welker
ice age: continental drift,Peter Dinklage
finding nemo,Alexander Gould
the lord of the rings: the return of the king,Orlando Bloom
the lord of the rings: the two towers,Christopher Lee
seventh son,Jeff Bridges
lara croft: tomb raider,Angelina Jolie Pitt
transcendence,Johnny Depp
jurassic park iii,Michael Jeter
rise of the planet of the apes,James Franco
the spiderwick chronicles,Martin Short
a good day to die hard,Bruce Willis
the incredibles,Holly Hunter
cutthroat island,Christopher Masterson
percy jackson & the olympians: the lightning thief,Logan Lerman
men in black,Will Smith
toy story 2,Tom Hanks
unstoppable,Denzel Washington
rush hour 2,Mei MelanÃ§on
what lies beneath,Harrison Ford
cloudy with a chance of meatballs,Will Forte
ice age: dawn of the dinosaurs,Denis Leary
the secret life of walter mitty,Adam Scott
charlie's angels,Bill Murray
the departed,Leonardo DiCaprio
mulan,Ming-Na Wen
tropic thunder,Robert Downey Jr.
the girl with the dragon tattoo,Robin Wright
die hard with a vengeance,Bruce Willis
sherlock holmes,Robert Downey Jr.
atlantis: the lost empire,Leonard Nimoy
alvin and the chipmunks: the road chip,Bella Thorne
valkyrie,Tom Cruise
you don't mess with the zohan,Adam Sandler
pixels,Peter Dinklage
a.i. artificial intelligence,Haley Joel Osment
the haunted mansion,Marsha Thomason
contact,Matthew McConaughey
hollow man,Greg Grunberg
the interpreter,Curtiss Cook
percy jackson: sea of monsters,Logan Lerman
lara croft tomb raider: the cradle of life,Gerard Butler
now you see me 2,Daniel Radcliffe
spy game,Brad Pitt
mission to mars,Don Cheadle
rio,Anne Hathaway
bicentennial man,Robin Williams
volcano,Don Cheadle
the devil's own,Harrison Ford
k-19: the widowmaker,Liam Neeson
fantastic four,Tim Blake Nelson
cinderella man,Paddy Considine
the nutcracker in 3d,Shirley Henderson
seabiscuit,Jeff Bridges
twister,Philip Seymour Hoffman
cast away,Tom Hanks
happy feet,Robin Williams
the bourne supremacy,Matt Damon
air force one,Harrison Ford
ocean's eleven,Brad Pitt
the three musketeers,Milla Jovovich
hotel transylvania,Steve Buscemi
enchanted,Jeff Bennett
hannibalÂ            ,Caroline Dhavernas
safe house,Denzel Washington
102 dalmatians,Ioan Gruffudd
