,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
0,Doug Walker,Doug Walker,Rob Walker,unknown,Documentary,star wars: the force awakens,Doug Walker Rob Walker unknown Doug Walker Documentary
1,Jacques Perrin,Pedro ArmendÃÂ¡riz Jr.,Jacques Perrin,Rie Miyazawa,Documentary Drama,oceans,Pedro ArmendÃÂ¡riz Jr. Jacques Perrin Rie Miyazawa Jacques Perrin Documentary Drama
2,Kenny Ortega,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,Documentary Music,this is it,Misha Gabriel Hamilton Mekia Cox Judith Hill Kenny Ortega Documentary Music
3,Jacques Perrin,Jacques Perrin,Philippe Labro,unknown,Documentary,winged migration,Jacques Perrin Philippe Labro unknown Jacques Perrin Documentary
4,Jeff Tremaine,Bam Margera,Steve-O,Chris Pontius,Action Comedy Documentary,jackass 3d,Bam Margera Steve-O Chris Pontius Jeff Tremaine Action Comedy Documentary
5,Michael Moore,Ronald Reagan,Michael Moore,Bernie Sanders,Crime Documentary News,capitalism: a love story,Ronald Reagan Michael Moore Bernie Sanders Michael Moore Crime Documentary News
6,Catherine Owens,Bono,The Edge,Larry Mullen Jr.,Documentary Music,u2 3d,Bono The Edge Larry Mullen Jr. Catherine Owens Documentary Music
7,unknown,Amy Bruni,Steve Gonsalves,Jason Hawes,Documentary,ghost hunters,Amy Bruni Steve Gonsalves Jason Hawes unknown Documentary
8,Jon M. Chu,Usher Raymond,Sean Kingston,Boys II Men,Documentary Music,justin bieber: never say never,Usher Raymond Sean Kingston Boys II Men Jon M. Chu Documentary Music
9,Dan Cutforth,Lexie Contursi,Ashley Ashida Dixon,Anthony Burrell,Documentary Music,katy perry: part of me,Lexie Contursi Ashley Ashida Dixon Anthony Burrell Dan Cutforth Documentary Music
10,Jeff Tremaine,Bam Margera,Steve-O,Chris Pontius,Action Comedy Documentary,jackass number two,Bam Margera Steve-O Chris Pontius Jeff Tremaine Action Comedy Documentary
11,Morgan Spurlock,Harry Styles,Zayn Malik,Niall Horan,Documentary Music,one direction: this is us,Harry Styles Zayn Malik Niall Horan Morgan Spurlock Documentary Music
12,Michael Moore,Michael Moore,Tucker Albrizzi,Bill Clinton,Documentary Drama,sicko,Michael Moore Tucker Albrizzi Bill Clinton Michael Moore Documentary Drama
13,Kevin Tancharoen,Lea Michele,Heather Morris,Kevin McHale,Documentary Music,glee: the 3d concert movie,Lea Michele Heather Morris Kevin McHale Kevin Tancharoen Documentary Music
14,Don Kempf,Bill Murray,Michael Jordan,Bob Costas,Documentary Sport,michael jordan to the max,Bill Murray Michael Jordan Bob Costas Don Kempf Documentary Sport
15,Michael Moore,Osama bin Laden,Stevie Wonder,Ricky Martin,Documentary Drama War,fahrenheit 9/11,Osama bin Laden Stevie Wonder Ricky Martin Michael Moore Documentary Drama War
16,Jean-Jacques Mantello,Charlotte Rampling,Daryl Hannah,unknown,Adventure Documentary Short,dolphins and whales 3d: tribes of the ocean,Charlotte Rampling Daryl Hannah unknown Jean-Jacques Mantello Adventure Documentary Short
17,Tony Kaye,Noam Chomsky,Pat Buchanan,Bill Baird,Documentary,lake of fire,Noam Chomsky Pat Buchanan Bill Baird Tony Kaye Documentary
18,Jeff Tremaine,Bam Margera,Steve-O,Chris Pontius,Comedy Documentary,jackass: the movie,Bam Margera Steve-O Chris Pontius Jeff Tremaine Comedy Documentary
19,Ronan Chapalain,Norbert Ferrer,Guillaume Denaiffe,Chloe Hollings,Documentary,sea rex 3d: journey to a prehistoric world,Norbert Ferrer Guillaume Denaiffe Chloe Hollings Ronan Chapalain Documentary
20,Errol Morris,Jeffrey Frost,Megan Ambuhl Graner,Ken Davis,Crime Documentary War,standard operating procedure,Jeffrey Frost Megan Ambuhl Graner Ken Davis Errol Morris Crime Documentary War
21,William Arntz,Marlee Matlin,Elaine Hendrix,Armin Shimerman,Comedy Documentary Drama Fantasy Mystery Sci-Fi,what the #$*! do we (k)now!?,Marlee Matlin Elaine Hendrix Armin Shimerman William Arntz Comedy Documentary Drama Fantasy Mystery Sci-Fi
22,Rick de Oliveira,Laura Ramsey,Alan Taylor,Benjamin Fletcher,Documentary,the real cancun,Laura Ramsey Alan Taylor Benjamin Fletcher Rick de Oliveira Documentary
23,Ron Fricke,Collin Alfredo St. Dic,Balinese Tari Legong Dancers,Puti Sri Candra Dewi,Documentary Music,samsara,Collin Alfredo St. Dic Balinese Tari Legong Dancers Puti Sri Candra Dewi Ron Fricke Documentary Music
24,Charles Ferguson,Jane Goodall,Jerry Brown,Peter Agnefjall,Documentary,time to choose,Jane Goodall Jerry Brown Peter Agnefjall Charles Ferguson Documentary
25,Luc Jacquet,Morgan Freeman,Sofie GrÃÂ¥bÃÂ¸l,Romane Bohringer,Documentary,march of the penguins,Morgan Freeman Sofie GrÃÂ¥bÃÂ¸l Romane Bohringer Luc Jacquet Documentary
26,Spike Lee,Bernie Mac,Cedric the Entertainer,Steve Harvey,Comedy Documentary,the original kings of comedy,Bernie Mac Cedric the Entertainer Steve Harvey Spike Lee Comedy Documentary
27,Michael Moore,Michael Moore,Dick Clark,Bill Clinton,Crime Documentary Drama,bowling for columbine,Michael Moore Dick Clark Bill Clinton Michael Moore Crime Documentary Drama
28,David Raynr,Nancy O'Dell,Mikki Padilla,Dayna Devon,Biography Comedy Documentary,martin lawrence live: runteldat,Nancy O'Dell Mikki Padilla Dayna Devon David Raynr Biography Comedy Documentary
29,Michel Gondry,Common,Dave Chappelle,Lauryn Hill,Comedy Documentary Music,dave chappelle's block party,Common Dave Chappelle Lauryn Hill Michel Gondry Comedy Documentary Music
30,George Gallo,Eddie Griffin,Joe Howard,Robert Noble,Comedy Documentary,dysfunktional family,Eddie Griffin Joe Howard Robert Noble George Gallo Comedy Documentary
31,Heidi Ewing,Greg Crowe,James Ransone,Tempestt Bledsoe,Documentary,freakonomics,Greg Crowe James Ransone Tempestt Bledsoe Heidi Ewing Documentary
32,Stacy Peralta,Gerry Lopez,Gabrielle Reece,Laird John Hamilton,Documentary History Sport,riding giants,Gerry Lopez Gabrielle Reece Laird John Hamilton Stacy Peralta Documentary History Sport
33,Joe Cross,Joe Cross,Joel Fuhrman,Amy Badberg,Documentary,"fat, sick & nearly dead",Joe Cross Joel Fuhrman Amy Badberg Joe Cross Documentary
34,Dinesh D'Souza,Barack Obama,Zackary Steven Graham,Dinesh D'Souza,Documentary,2016: obama's america,Barack Obama Zackary Steven Graham Dinesh D'Souza Dinesh D'Souza Documentary
35,Leslie Small,David Jason Perez,La'Princess Jackson,Dana Hanna,Comedy Documentary,kevin hart: let me explain,David Jason Perez La'Princess Jackson Dana Hanna Leslie Small Comedy Documentary
36,Larry Charles,Bill Maher,Tal Bachman,Steve Burg,Comedy Documentary War,religulous,Bill Maher Tal Bachman Steve Burg Larry Charles Comedy Documentary War
37,Joshua Tickell,Larry David,Sheryl Crow,George W. Bush,Documentary,fuel,Larry David Sheryl Crow George W. Bush Joshua Tickell Documentary
38,Reed Cowan,Dustin Lance Black,Emily Pearson,Gavin Newsom,Documentary,8: the mormon proposition,Dustin Lance Black Emily Pearson Gavin Newsom Reed Cowan Documentary
39,Kevin Macdonald,Nicholas Aaron,Brendan Mackey,Joe Simpson,Adventure Documentary Drama Sport,touching the void,Nicholas Aaron Brendan Mackey Joe Simpson Kevin Macdonald Adventure Documentary Drama Sport
40,Charles Ferguson,Matt Damon,George W. Bush,Barney Frank,Crime Documentary,inside job,Matt Damon George W. Bush Barney Frank Charles Ferguson Crime Documentary
41,Ari Folman,Ari Folman,Ronny Dayag,Zahava Solomon,Animation Biography Documentary Drama History War,waltz with bashir,Ari Folman Ronny Dayag Zahava Solomon Ari Folman Animation Biography Documentary Drama History War
42,Charles Ferguson,Campbell Scott,Dick Cheney,Donald Rumsfeld,Documentary War,no end in sight,Campbell Scott Dick Cheney Donald Rumsfeld Charles Ferguson Documentary War
43,David Sington,John F. Kennedy,Buzz Aldrin,Neil Armstrong,Documentary History,in the shadow of the moon,John F. Kennedy Buzz Aldrin Neil Armstrong David Sington Documentary History
44,Fenton Bailey,Hugh M. Hefner,Bill Maher,Linda Lovelace,Biography Documentary History,inside deep throat,Hugh M. Hefner Bill Maher Linda Lovelace Fenton Bailey Biography Documentary History
45,Simon Napier-Bell,Alice Cooper,Tim Rice,Louis Walsh,Documentary,"to be frank, sinatra at 100",Alice Cooper Tim Rice Louis Walsh Simon Napier-Bell Documentary
46,Michael Moore,Michael Moore,Eddie Vedder,Steve Earle,Documentary,slacker uprising,Michael Moore Eddie Vedder Steve Earle Michael Moore Documentary
47,Jehane Noujaim,Khalid Abdalla,Ahmed Hassan,Aida Elkashef,Documentary Drama History News,the square,Khalid Abdalla Ahmed Hassan Aida Elkashef Jehane Noujaim Documentary Drama History News
48,James Marsh,Paul McGill,Philippe Petit,Jean-Louis Blondeau,Biography Crime Documentary History Thriller,man on wire,Paul McGill Philippe Petit Jean-Louis Blondeau James Marsh Biography Crime Documentary History Thriller
49,Morgan Spurlock,Quentin Tarantino,J.J. Abrams,Donald Trump,Comedy Documentary,the greatest movie ever sold,Quentin Tarantino J.J. Abrams Donald Trump Morgan Spurlock Comedy Documentary
50,Dror Moreh,Ami Ayalon,Yuval Diskin,Yaakov Peri,Documentary War,the gatekeepers,Ami Ayalon Yuval Diskin Yaakov Peri Dror Moreh Documentary War
51,Robert Greenwald,Lee Scott,Jon Hunter,Matt Hunter,Documentary,wal-mart: the high cost of low price,Lee Scott Jon Hunter Matt Hunter Robert Greenwald Documentary
52,LÃÂ©a Pool,unknown,unknown,unknown,Documentary,"pink ribbons, inc.",unknown unknown unknown LÃÂ©a Pool Documentary
53,James David Pasternak,Robin Williams,Sarah Silverman,Jonathan Winters,Comedy Documentary,certifiably jonathan,Robin Williams Sarah Silverman Jonathan Winters James David Pasternak Comedy Documentary
54,Harry Gantz,unknown,unknown,unknown,Documentary Drama,sex with strangers,unknown unknown unknown Harry Gantz Documentary Drama
55,Davis Guggenheim,Billy West,Al Gore,unknown,Documentary,an inconvenient truth,Billy West Al Gore unknown Davis Guggenheim Documentary
56,Martin Scorsese,Mick Jagger,Keith Richards,Albert Maysles,Biography Documentary Music,shine a light,Mick Jagger Keith Richards Albert Maysles Martin Scorsese Biography Documentary Music
57,Robert Kenner,Michael Pollan,Eric Schlosser,Barbara Kowalcyk,Documentary,"food, inc.",Michael Pollan Eric Schlosser Barbara Kowalcyk Robert Kenner Documentary
58,Morgan Neville,Sheryl Crow,Lou Adler,Merry Clayton,Documentary Music,20 feet from stardom,Sheryl Crow Lou Adler Merry Clayton Morgan Neville Documentary Music
59,Chris Paine,Ed Begley Jr.,Phyllis Diller,Colette Divine,Documentary,who killed the electric car?,Ed Begley Jr. Phyllis Diller Colette Divine Chris Paine Documentary
60,Joshua Oppenheimer,Anwar Congo,Herman Koto,Syamsul Arifin,Biography Crime Documentary History,the act of killing,Anwar Congo Herman Koto Syamsul Arifin Joshua Oppenheimer Biography Crime Documentary History
61,Alex Gibney,Alex Gibney,George W. Bush,Greg D'Agostino,Crime Documentary War,taxi to the dark side,Alex Gibney George W. Bush Greg D'Agostino Alex Gibney Crime Documentary War
62,Paul Crowder,PelÃÂ©,Marv Albert,Ahmet Ertegun,Documentary Sport,once in a lifetime: the extraordinary story of the new york cosmos,PelÃÂ© Marv Albert Ahmet Ertegun Paul Crowder Documentary Sport
63,Anthony Powell,Josh Swanson,Tom Hamann,Anthony Powell,Adventure Biography Documentary Drama,antarctica: a year on ice,Josh Swanson Tom Hamann Anthony Powell Anthony Powell Adventure Biography Documentary Drama
64,Kief Davidson,G.W. Krauss,Brian Whitaker,Jason Bateman,Documentary,a lego brickumentary,G.W. Krauss Brian Whitaker Jason Bateman Kief Davidson Documentary
65,Sanjay Rawal,Alma Martinez,Robert Kennedy Jr.,Eve Ensler,Documentary News,food chains,Alma Martinez Robert Kennedy Jr. Eve Ensler Sanjay Rawal Documentary News
66,Robert Greenwald,Scott Helvenston,Katy Helvenston-Wettengal,Donna Zovko,Documentary War,iraq for sale: the war profiteers,Scott Helvenston Katy Helvenston-Wettengal Donna Zovko Robert Greenwald Documentary War
67,Leslie Small,Isaac C. Singleton Jr.,Larry King,Jeanette Branch,Comedy Documentary,kevin hart: laugh at my pain,Isaac C. Singleton Jr. Larry King Jeanette Branch Leslie Small Comedy Documentary
68,Steve James,William Gates,Arthur Agee,Isiah Thomas,Documentary Drama Sport,hoop dreams,William Gates Arthur Agee Isiah Thomas Steve James Documentary Drama Sport
69,David LaChapelle,Kevin Scott Richardson,Christopher Toler,Tommy the Clown,Documentary Music,rize,Kevin Scott Richardson Christopher Toler Tommy the Clown David LaChapelle Documentary Music
70,Chris Atkins,Richard Curtis,Harvey Weinstein,Elton John,Documentary,starsuckers,Richard Curtis Harvey Weinstein Elton John Chris Atkins Documentary
71,Bill Benenson,Alfre Woodard,Dave Fennoy,Jane Goodall,Documentary,the hadza: last of the first,Alfre Woodard Dave Fennoy Jane Goodall Bill Benenson Documentary
72,Michael Wadleigh,Joe Cocker,Jimi Hendrix,Joan Baez,Documentary History Music,woodstock,Joe Cocker Jimi Hendrix Joan Baez Michael Wadleigh Documentary History Music
73,Johanna Schwartz,Aliou TourÃÂ©,Garba TourÃÂ©,Khaira Arby,Documentary,they will have to kill us first,Aliou TourÃÂ© Garba TourÃÂ© Khaira Arby Johanna Schwartz Documentary
74,William Gazecki,Karen Alexander,Colin Andrews,Francine Blake,Documentary,crop circles: quest for truth,Karen Alexander Colin Andrews Francine Blake William Gazecki Documentary
75,U. Roberto Romano,unknown,unknown,unknown,Documentary,the harvest/la cosecha,unknown unknown unknown U. Roberto Romano Documentary
76,Pan Nalin,Bhole Baba,Pant Shirt Baba,Shriman Umeshanad Brahmachari,Biography Documentary Drama,faith connections,Bhole Baba Pant Shirt Baba Shriman Umeshanad Brahmachari Pan Nalin Biography Documentary Drama
77,Marilyn Agrelo,Heather Berman,Eva Carrozza,Paul Daggett,Documentary Family Music,mad hot ballroom,Heather Berman Eva Carrozza Paul Daggett Marilyn Agrelo Documentary Family Music
78,Patrick Creadon,Ken Burns,Bill Clinton,Bob Dole,Documentary,wordplay,Ken Burns Bill Clinton Bob Dole Patrick Creadon Documentary
79,Barry W. Blaustein,Terry Funk,Vince McMahon,Mick Foley,Biography Documentary Sport,beyond the mat,Terry Funk Vince McMahon Mick Foley Barry W. Blaustein Biography Documentary Sport
80,Joseph Dorman,Rachel Dratch,Peter Riegert,Jason Kravits,Documentary,sholem aleichem: laughing in the darkness,Rachel Dratch Peter Riegert Jason Kravits Joseph Dorman Documentary
81,Molly Bernstein,David Mamet,Ricky Jay,Dick Cavett,Documentary,deceptive practice: the mysteries and mentors of ricky jay,David Mamet Ricky Jay Dick Cavett Molly Bernstein Documentary
82,Marius A. Markevicius,Tommy Sheppard,Greg Speirs,Mickey Hart,Documentary Sport,the other dream team,Tommy Sheppard Greg Speirs Mickey Hart Marius A. Markevicius Documentary Sport
83,Stephen Kijak,Brian Eno,Jacques Brel,Damon Albarn,Biography Documentary Music,scott walker: 30 century man,Brian Eno Jacques Brel Damon Albarn Stephen Kijak Biography Documentary Music
84,William Gazecki,Carol Channing,Bruce Vilanch,Tony Bennett,Documentary,the outrageous sophie tucker,Carol Channing Bruce Vilanch Tony Bennett William Gazecki Documentary
85,Catherine Gund,Elizabeth Streb,Sarah Callan,Laura Flanders,Action Biography Documentary Sport,born to fly: elizabeth streb vs. gravity,Elizabeth Streb Sarah Callan Laura Flanders Catherine Gund Action Biography Documentary Sport
86,Joe Kenemore,Bob Proctor,Jack Canfield,Eric Worre,Documentary,rise of the entrepreneur: the search for a better way,Bob Proctor Jack Canfield Eric Worre Joe Kenemore Documentary
87,Stacy Peralta,Tony Alva,Jay Adams,Jeff Ament,Documentary Sport,dogtown and z-boys,Tony Alva Jay Adams Jeff Ament Stacy Peralta Documentary Sport
88,Jonathan Caouette,Greg Ayres,Jonathan Caouette,Renee Leblanc,Biography Documentary,tarnation,Greg Ayres Jonathan Caouette Renee Leblanc Jonathan Caouette Biography Documentary
89,Ray Griggs,Bill Farmer,Chris Cox,Mike Huckabee,Documentary,i want your money,Bill Farmer Chris Cox Mike Huckabee Ray Griggs Documentary
90,Roger Nygard,Walter Koenig,DeForest Kelley,James Doohan,Documentary,trekkies,Walter Koenig DeForest Kelley James Doohan Roger Nygard Documentary
91,Mor Loushy,Amos Oz,unknown,unknown,Documentary History,censored voices,Amos Oz unknown unknown Mor Loushy Documentary History
92,Henry Alex Rubin,Mark Zupan,Joe Bishop,Andy Cohn,Documentary Sport,murderball,Mark Zupan Joe Bishop Andy Cohn Henry Alex Rubin Documentary Sport
93,Doug Block,Carol Block,Ellen Block,Mike Block,Documentary,51 birch street,Carol Block Ellen Block Mike Block Doug Block Documentary
94,Lauren Lazin,James Cagney,Gary Coleman,Todd Bridges,Biography Documentary Music,tupac: resurrection,James Cagney Gary Coleman Todd Bridges Lauren Lazin Biography Documentary Music
95,Florence Ayisi,Vera Ngassa,Beatrice Ntuba,unknown,Documentary,sisters in law,Vera Ngassa Beatrice Ntuba unknown Florence Ayisi Documentary
96,Pan Nalin,unknown,unknown,unknown,Documentary,ayurveda: art of being,unknown unknown unknown Pan Nalin Documentary
97,Sam Martin,Sam Adams,Steve Duin,Jeff Jacob,Documentary,undivided,Sam Adams Steve Duin Jeff Jacob Sam Martin Documentary
98,Kristin Rizzo,Esai Morales,Robert Davi,Elaine Hendrix,Documentary,give me shelter,Esai Morales Robert Davi Elaine Hendrix Kristin Rizzo Documentary
99,Tom Putnam,Brendan Doogie Milewski,Donald Austin,Craig Dougherty,Documentary,burn,Brendan Doogie Milewski Donald Austin Craig Dougherty Tom Putnam Documentary
100,Maurizio Benazzo,The Dalai Lama,Jasper Johal,Swami Krishnanad,Documentary,short cut to nirvana: kumbh mela,The Dalai Lama Jasper Johal Swami Krishnanad Maurizio Benazzo Documentary
101,Justin Dillon,Matisyahu,Natasha Bedingfield,Madeleine Albright,Documentary History Music,call + response,Matisyahu Natasha Bedingfield Madeleine Albright Justin Dillon Documentary History Music
102,Chris Marker,Marina Vlady,Bertrand Cantat,LÃÂ©on Schwartzenberg,Documentary,the case of the grinning cat,Marina Vlady Bertrand Cantat LÃÂ©on Schwartzenberg Chris Marker Documentary
103,Ricki Stern,Darryl Hunt,Evelyn Jefferson,John Reeves,Crime Documentary,the trials of darryl hunt,Darryl Hunt Evelyn Jefferson John Reeves Ricki Stern Crime Documentary
