,movie_title,actor_name,actor_id
0,avatar,CCH Pounder,30485.0
1,pirates of the caribbean: at world's end,Johnny Depp,85.0
2,spectre,Christoph Waltz,27319.0
3,the dark knight rises,Tom Hardy,2524.0
4,star wars: the force awakens,Doug Walker,1451279.0
5,john carter,Daryl Sabara,57675.0
6,tangled,Brad Garrett,18.0
7,avengers: age of ultron,Chris Hemsworth,74568.0
8,harry potter and the half-blood prince,Alan Rickman,4566.0
9,batman v superman: dawn of justice,Henry Cavill,73968.0
10,superman returns,Kevin Spacey,1979.0
11,quantum of solace,Giancarlo Giannini,3753.0
12,pirates of the caribbean: dead man's chest,Johnny Depp,85.0
13,the lone ranger,Johnny Depp,85.0
14,man of steel,Henry Cavill,73968.0
15,the chronicles of narnia: prince caspian,Peter Dinklage,22970.0
16,pirates of the caribbean: on stranger tides,Johnny Depp,85.0
17,men in black 3,Will Smith,2888.0
18,the hobbit: the battle of the five armies,Aidan Turner,207558.0
19,the amazing spider-man,Emma Stone,54693.0
20,robin hood,Mark Addy,13633.0
21,the hobbit: the desolation of smaug,Aidan Turner,207558.0
22,the golden compass,Christopher Lee,113.0
23,titanic,Leonardo DiCaprio,6193.0
24,captain america: civil war,Robert Downey Jr.,3223.0
25,battleship,Liam Neeson,3896.0
26,jurassic world,Bryce Dallas Howard,18997.0
27,spider-man 2,J.K. Simmons,18999.0
28,iron man 3,Robert Downey Jr.,3223.0
29,x-men: the last stand,Hugh Jackman,6968.0
30,monsters university,Steve Buscemi,884.0
31,transformers: revenge of the fallen,Glenn Morshower,12797.0
32,transformers: age of extinction,Bingbing Li,109432.0
33,the amazing spider-man 2,Emma Stone,54693.0
34,cars 2,Joe Mantegna,3266.0
35,green lantern,Ryan Reynolds,10859.0
36,toy story 3,Tom Hanks,31.0
37,terminator salvation,Christian Bale,3894.0
38,furious 7,Jason Statham,976.0
39,world war z,Peter Capaldi,12982.0
40,x-men: days of future past,Jennifer Lawrence,72129.0
41,star trek into darkness,Benedict Cumberbatch,71580.0
42,jack the giant slayer,Eddie Marsan,1665.0
43,prince of persia: the sands of time,Jake Gyllenhaal,131.0
44,pacific rim,Charlie Hunnam,56365.0
45,transformers: dark of the moon,Glenn Morshower,12797.0
46,indiana jones and the kingdom of the crystal skull,Harrison Ford,3.0
47,the good dinosaur,A.J. Buckley,60460.0
48,brave,Kelly Macdonald,9015.0
49,star trek beyond,Sofia Boutella,568657.0
50,wallÂ·e,John Ratzenberger,7907.0
51,rush hour 3,Tzi Ma,21629.0
52,2012,Oliver Platt,17485.0
53,a christmas carol,Robin Wright,32.0
54,jupiter ascending,Channing Tatum,38673.0
55,"the chronicles of narnia: the lion, the witch and the wardrobe",Jim Broadbent,388.0
56,x-men: apocalypse,Jennifer Lawrence,72129.0
57,the dark knight,Christian Bale,3894.0
58,up,John Ratzenberger,7907.0
59,monsters vs. aliens,Amy Poehler,56322.0
60,iron man,Robert Downey Jr.,3223.0
61,hugo,ChloÃ« Grace Moretz,
62,wild wild west,Will Smith,2888.0
63,the mummy: tomb of the dragon emperor,Jet Li,1336.0
64,suicide squad,Will Smith,2888.0
65,evan almighty,Jimmy Bennett,6860.0
66,edge of tomorrow,Tom Cruise,500.0
67,waterworld,Jeanne Tripplehorn,10478.0
68,g.i. joe: the rise of cobra,Joseph Gordon-Levitt,24045.0
69,inside out,Amy Poehler,56322.0
70,iron man 2,Robert Downey Jr.,3223.0
71,snow white and the huntsman,Chris Hemsworth,74568.0
72,maleficent,Angelina Jolie Pitt,
73,dawn of the planet of the apes,Gary Oldman,64.0
74,47 ronin,Keanu Reeves,6384.0
75,captain america: the winter soldier,Scarlett Johansson,1245.0
76,shrek forever after,Jon Hamm,65717.0
77,tomorrowland,Judy Greer,20750.0
78,big hero 6,Damon Wayans Jr.,87822.0
79,wreck-it ralph,Jack McBrayer,58737.0
80,the polar express,Tom Hanks,31.0
81,independence day: resurgence,Vivica A. Fox,2535.0
82,how to train your dragon,Gerard Butler,17276.0
83,terminator 3: rise of the machines,Nick Stahl,6408.0
84,guardians of the galaxy,Bradley Cooper,51329.0
85,interstellar,Matthew McConaughey,10297.0
86,inception,Leonardo DiCaprio,6193.0
87,the hobbit: an unexpected journey,Aidan Turner,207558.0
88,the curious case of benjamin button,Brad Pitt,287.0
89,x-men: first class,Jennifer Lawrence,72129.0
90,the hunger games: mockingjay - part 2,Jennifer Lawrence,72129.0
91,the sorcerer's apprentice,Nicolas Cage,2963.0
92,poseidon,Jimmy Bennett,6860.0
93,alice through the looking glass,Johnny Depp,85.0
94,shrek the third,Justin Timberlake,12111.0
95,warcraft,Dominic Cooper,55470.0
96,terminator genisys,J.K. Simmons,18999.0
97,the chronicles of narnia: the voyage of the dawn treader,Bruce Spence,27752.0
98,pearl harbor,Jennifer Garner,9278.0
99,transformers,Zack Ward,12714.0
100,alexander,Anthony Hopkins,4173.0
101,harry potter and the order of the phoenix,Robert Pattinson,11288.0
102,harry potter and the goblet of fire,Robert Pattinson,11288.0
103,hancock,Will Smith,2888.0
104,i am legend,Will Smith,2888.0
105,charlie and the chocolate factory,Johnny Depp,85.0
106,ratatouille,Janeane Garofalo,21197.0
107,batman begins,Christian Bale,3894.0
108,madagascar: escape 2 africa,Bernie Mac,1897.0
109,night at the museum: battle of the smithsonian,Robin Williams,2157.0
110,x-men origins: wolverine,Hugh Jackman,6968.0
111,the matrix revolutions,Essie Davis,33449.0
112,frozen,Josh Gad,54415.0
113,the matrix reloaded,Steve Bastoni,75121.0
114,thor: the dark world,Chris Hemsworth,74568.0
115,mad max: fury road,Tom Hardy,2524.0
116,angels & demons,Tom Hanks,31.0
117,thor,Chris Hemsworth,74568.0
118,bolt,ChloÃ« Grace Moretz,
119,g-force,Kelli Garner,17442.0
