,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
0,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History,robin hood,Mark Addy William Hurt Scott Grimes Ridley Scott Action Adventure Drama History
1,Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War,pearl harbor,Jennifer Garner Jaime King Mako Michael Bay Action Drama History Romance War
2,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War,alexander,Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone Action Adventure Biography Drama History Romance War
3,Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg,Action Drama History War,the last samurai,Tom Cruise Tony Goldwyn Chad Lindberg Edward Zwick Action Drama History War
4,Peter Weir,James D'Arcy,Lee Ingleby,David Threlfall,Action Adventure Drama History War,master and commander: the far side of the world,James D'Arcy Lee Ingleby David Threlfall Peter Weir Action Adventure Drama History War
5,John McTiernan,Tony Curran,Vladimir Kulich,Clive Russell,Action Adventure History,the 13th warrior,Tony Curran Vladimir Kulich Clive Russell John McTiernan Action Adventure History
6,Roland Emmerich,Heath Ledger,Adam Baldwin,Tom Wilkinson,Action Drama History War,the patriot,Heath Ledger Adam Baldwin Tom Wilkinson Roland Emmerich Action Drama History War
7,Ridley Scott,Liam Neeson,Orlando Bloom,Philip Glenister,Action Adventure Drama History War,kingdom of heaven,Liam Neeson Orlando Bloom Philip Glenister Ridley Scott Action Adventure Drama History War
8,Michael Mann,Johnny Depp,Christian Bale,Stephen Graham,Biography Crime Drama History Romance,public enemies,Johnny Depp Christian Bale Stephen Graham Michael Mann Biography Crime Drama History Romance
9,Ron Howard,Chris Hemsworth,Benjamin Walker,Frank Dillane,Action Adventure Biography Drama History Thriller,in the heart of the sea,Chris Hemsworth Benjamin Walker Frank Dillane Ron Howard Action Adventure Biography Drama History Thriller
10,Yimou Zhang,Christian Bale,Ni Ni,Shigeo Kobayashi,Drama History Romance War,the flowers of war,Christian Bale Ni Ni Shigeo Kobayashi Yimou Zhang Drama History Romance War
11,Ridley Scott,Ioan Gruffudd,Sam Shepard,Ewen Bremner,Drama History War,black hawk down,Ioan Gruffudd Sam Shepard Ewen Bremner Ridley Scott Drama History War
12,Bryan Singer,Tom Cruise,Tom Wilkinson,Thomas Kretschmann,Drama History Thriller War,valkyrie,Tom Cruise Tom Wilkinson Thomas Kretschmann Bryan Singer Drama History Thriller War
13,Kathryn Bigelow,Liam Neeson,Christian Camargo,Lex Shrapnel,Drama History Thriller War,k-19: the widowmaker,Liam Neeson Christian Camargo Lex Shrapnel Kathryn Bigelow Drama History Thriller War
14,Gary Ross,Jeff Bridges,Michael Angarano,Michael O'Neill,Drama History Sport,seabiscuit,Jeff Bridges Michael Angarano Michael O'Neill Gary Ross Drama History Sport
15,Jean-Jacques Annaud,Bob Hoskins,Gabriel Thomson,Clemens Schick,Drama History War,enemy at the gates,Bob Hoskins Gabriel Thomson Clemens Schick Jean-Jacques Annaud Drama History War
16,David Fincher,Robert Downey Jr.,Jake Gyllenhaal,Anthony Edwards,Crime Drama History Mystery Thriller,zodiac,Robert Downey Jr. Jake Gyllenhaal Anthony Edwards David Fincher Crime Drama History Mystery Thriller
17,Anthony Minghella,Philip Seymour Hoffman,Natalie Portman,Charlie Hunnam,Adventure Drama History Romance War,cold mountain,Philip Seymour Hoffman Natalie Portman Charlie Hunnam Anthony Minghella Adventure Drama History Romance War
18,Roger Donaldson,Bruce Greenwood,Jon Foster,Bruce Thomas,Drama History Thriller,thirteen days,Bruce Greenwood Jon Foster Bruce Thomas Roger Donaldson Drama History Thriller
19,Paul W.S. Anderson,Sasha Roiz,Currie Graham,Dylan Schombing,Action Adventure Drama History Romance,pompeii,Sasha Roiz Currie Graham Dylan Schombing Paul W.S. Anderson Action Adventure Drama History Romance
20,Mike Nichols,Philip Seymour Hoffman,Tom Hanks,Jud Tylor,Biography Comedy Drama History,charlie wilson's war,Philip Seymour Hoffman Tom Hanks Jud Tylor Mike Nichols Biography Comedy Drama History
